Time_s,Voltage_V,Current_mA,Power_mW
4.74,3.69,29.30,108.00
4.74,3.69,54.00,200.00
4.77,3.70,27.70,102.00
4.80,3.69,27.70,102.00
4.83,3.66,48.50,96.00
4.89,3.69,24.60,302.00
4.89,3.69,25.30,92.00
4.89,3.69,25.90,92.00
4.92,3.69,22.30,82.00
4.95,3.68,22.70,86.00
4.98,3.70,22.60,82.00
4.98,3.70,20.70,76.00
5.01,3.69,20.30,72.00
5.07,3.69,54.50,30.00
5.07,3.65,69.60,204.00
5.10,3.69,15.50,158.00
5.10,3.70,13.40,50.00
5.13,3.70,9.90,36.00
5.16,3.70,9.80,36.00
5.19,3.68,10.50,40.00
5.22,3.70,0.10,0.00
5.22,3.69,56.50,206.00
5.25,3.70,3.00,10.00
5.28,3.70,3.80,14.00
5.31,3.66,2.20,6.00
5.34,3.70,0.20,0.00
5.34,3.70,53.50,196.00
5.37,3.70,2.10,6.00
5.40,3.70,1.40,6.00
5.43,3.68,11.50,10.00
5.46,3.70,0.30,194.00
5.46,3.70,-1.00,196.00
5.49,3.70,0.90,0.00
5.52,3.70,1.50,0.00
5.55,3.67,-1.50,6.00
5.58,3.70,0.40,0.00
5.58,3.70,-0.80,4.00
5.61,3.70,-0.70,4.00
5.64,3.70,0.40,0.00
5.67,3.67,28.60,4.00
5.70,3.70,0.00,104.00
5.70,3.70,4.40,204.00
5.73,3.70,6.70,20.00
5.76,3.70,5.00,20.00
5.79,3.68,7.60,30.00
5.82,3.70,10.40,40.00
5.82,3.69,43.70,160.00
5.85,3.70,13.50,200.00
5.88,3.70,15.70,58.00
5.91,3.65,74.00,62.00
5.94,3.70,18.70,150.00
5.94,3.70,20.10,76.00
5.97,3.70,19.80,72.00
6.00,3.69,22.80,86.00
6.03,3.68,26.90,98.00
6.06,3.70,24.10,88.00
6.06,3.69,24.10,86.00
6.09,3.69,24.10,86.00
6.12,3.69,24.70,88.00
6.15,3.65,24.70,92.00
6.18,3.69,50.80,186.00
6.18,3.69,53.60,196.00
6.21,3.69,24.70,92.00
6.24,3.69,23.10,86.00
6.27,3.67,33.90,88.00
6.30,3.69,23.50,354.00
6.30,3.69,19.80,72.00
6.34,3.69,19.80,72.00
6.36,3.70,18.50,66.00
6.39,3.67,14.00,52.00
6.42,3.70,13.60,50.00
6.42,3.70,10.40,40.00
6.45,3.69,50.60,186.00
6.48,3.70,6.30,22.00
6.51,3.66,39.00,10.00
6.54,3.70,0.10,76.00
6.54,3.70,1.50,206.00
6.57,3.70,0.50,4.00
6.60,3.70,-4.70,16.00
6.63,3.69,-5.10,20.00
6.66,3.70,-6.10,22.00
6.66,3.70,-8.50,32.00
6.69,3.70,-10.00,36.00
6.72,3.70,-9.60,36.00
6.75,3.66,49.80,40.00
6.81,3.70,-10.60,16.00
6.81,3.70,-9.20,204.00
6.81,3.70,-11.10,42.00
6.84,3.70,-8.50,32.00
6.87,3.69,-2.40,10.00
6.90,3.70,-7.00,26.00
6.90,3.70,-7.50,200.00
6.93,3.70,-8.40,32.00
6.96,3.70,-8.20,32.00
6.99,3.67,-7.80,30.00
7.02,3.70,-4.90,20.00
7.02,3.70,-7.20,26.00
7.05,3.70,-4.60,16.00
7.08,3.70,-4.50,16.00
7.11,3.67,11.20,10.00
7.14,3.70,-1.80,104.00
7.14,3.70,-0.80,200.00
7.17,3.70,1.80,6.00
7.20,3.70,4.70,14.00
7.23,3.68,2.60,10.00
7.26,3.70,0.20,0.00
7.26,3.70,5.40,20.00
7.29,3.70,6.30,22.00
7.32,3.70,7.60,30.00
7.35,3.66,52.50,26.00
7.38,3.70,0.20,144.00
7.38,3.70,7.00,206.00
7.41,3.70,6.60,20.00
7.44,3.70,2.60,10.00
7.47,3.68,4.70,16.00
7.50,3.70,-0.10,0.00
7.50,3.70,1.70,6.00
7.53,3.70,2.10,6.00
7.56,3.70,2.60,10.00
7.59,3.66,70.20,6.00
7.62,3.70,0.20,0.00
7.62,3.70,2.30,204.00
7.65,3.70,-1.10,4.00
7.68,3.70,0.30,0.00
7.71,3.68,7.40,26.00
7.74,3.70,0.10,0.00
7.74,3.70,0.40,204.00
7.77,3.70,0.40,0.00
7.80,3.70,1.80,4.00
7.83,3.67,3.10,14.00
7.86,3.70,0.00,0.00
7.86,3.70,3.50,14.00
7.89,3.70,6.00,22.00
7.92,3.70,6.10,22.00
7.95,3.67,32.50,30.00
7.98,3.70,9.70,250.00
7.98,3.68,54.30,88.00
8.01,3.70,11.90,42.00
8.04,3.70,13.40,46.00
8.07,3.67,11.90,42.00
8.10,3.70,14.30,52.00
8.10,3.70,14.30,52.00
8.13,3.70,14.60,52.00
8.16,3.70,15.70,58.00
8.19,3.66,67.60,52.00
8.22,3.70,14.70,150.00
8.22,3.69,16.70,62.00
8.25,3.70,14.30,58.00
8.31,3.69,16.30,58.00
8.31,3.68,15.30,56.00
8.31,3.70,15.00,56.00
8.34,3.70,13.30,50.00
8.37,3.70,12.80,46.00
8.40,3.70,12.90,46.00
8.46,3.66,87.60,42.00
8.46,3.70,11.10,68.00
8.46,3.70,11.30,40.00
8.49,3.70,7.90,30.00
8.52,3.70,55.50,204.00
8.55,3.68,18.20,68.00
8.58,3.70,6.70,26.00
8.58,3.70,6.80,20.00
8.61,3.70,5.20,16.00
8.64,3.70,4.50,16.00
8.67,3.67,36.80,138.00
8.70,3.70,-0.10,0.00
8.70,3.70,0.80,4.00
8.73,3.70,2.10,6.00
8.76,3.70,1.30,4.00
8.79,3.67,36.90,10.00
8.79,3.70,0.20,88.00
8.82,3.70,1.30,200.00
8.85,3.70,2.50,6.00
8.88,3.70,3.20,6.00
8.91,3.68,2.30,10.00
8.94,3.70,0.10,0.00
8.94,3.70,2.80,10.00
8.97,3.70,3.60,14.00
9.00,3.70,4.80,16.00
9.03,3.66,66.20,20.00
9.03,3.70,-0.60,92.00
9.06,3.70,12.40,204.00
9.09,3.70,12.30,40.00
9.12,3.70,10.80,40.00
9.15,3.68,18.40,68.00
9.15,3.70,16.10,58.00
9.18,3.70,16.50,62.00
9.21,3.69,18.20,66.00
9.24,3.70,20.30,76.00
9.27,3.66,107.20,78.00
9.27,3.69,22.60,96.00
9.30,3.70,23.40,86.00
9.33,3.69,22.40,82.00
9.36,3.69,24.30,88.00
9.39,3.68,36.30,134.00
9.39,3.70,22.30,82.00
9.42,3.69,22.80,82.00
9.45,3.69,21.00,76.00
9.48,3.70,20.60,76.00
9.51,3.66,17.30,62.00
9.51,3.70,19.40,72.00
9.54,3.70,15.30,56.00
9.57,3.70,15.70,58.00
9.60,3.70,14.40,52.00
9.63,3.66,56.60,52.00
9.63,3.70,14.50,190.00
9.66,3.69,53.80,134.00
9.69,3.70,12.10,42.00
9.72,3.70,11.80,40.00
9.75,3.68,11.00,40.00
9.75,3.70,9.40,36.00
9.78,3.70,7.40,26.00
9.81,3.70,0.40,0.00
9.84,3.69,54.90,204.00
9.87,3.65,71.50,14.00
9.87,3.70,-0.40,42.00
9.90,3.70,-1.80,6.00
9.93,3.70,-3.70,20.00
9.96,3.70,-8.40,30.00
9.99,3.68,0.10,0.00
9.99,3.70,-6.40,22.00
10.02,3.70,-5.60,20.00
10.05,3.70,-3.50,16.00
10.08,3.70,-2.70,10.00
10.11,3.66,90.30,6.00
10.11,3.70,0.10,0.00
10.14,3.70,-0.40,0.00
10.17,3.70,0.40,0.00
10.20,3.70,3.10,14.00
10.23,3.68,30.00,112.00
10.23,3.70,0.30,0.00
10.26,3.70,4.80,206.00
10.29,3.70,3.10,10.00
10.32,3.70,4.80,16.00
10.35,3.67,2.50,10.00
10.35,3.70,0.00,0.00
10.38,3.70,-1.20,4.00
10.41,3.70,-3.40,14.00
10.44,3.70,-5.70,20.00
10.47,3.67,46.90,36.00
10.47,3.70,-8.20,26.00
10.50,3.70,-12.90,194.00
10.53,3.70,-8.40,32.00
10.56,3.70,-4.10,20.00
10.59,3.68,2.00,6.00
10.59,3.70,0.10,0.00
10.62,3.70,0.90,4.00
10.65,3.70,1.90,6.00
10.68,3.70,2.50,6.00
10.71,3.66,81.10,10.00
10.71,3.70,-0.10,0.00
10.74,3.70,3.10,204.00
10.77,3.70,4.20,16.00
10.80,3.70,4.50,16.00
10.83,3.68,19.60,72.00
10.83,3.70,10.40,40.00
10.86,3.69,7.40,26.00
10.89,3.69,56.10,184.00
10.92,3.69,21.10,78.00
10.95,3.66,24.10,88.00
10.95,3.69,26.70,104.00
10.98,3.69,27.30,102.00
11.01,3.69,27.40,102.00
11.04,3.69,29.30,108.00
11.07,3.67,69.70,112.00
11.08,3.69,27.80,256.00
11.12,3.69,28.00,102.00
11.13,3.69,24.40,86.00
11.16,3.69,25.60,96.00
11.19,3.66,23.60,88.00
11.19,3.69,54.70,204.00
11.22,3.70,20.10,76.00
11.25,3.69,15.80,58.00
11.28,3.70,12.30,46.00
11.31,3.66,75.80,26.00
11.31,3.70,7.60,82.00
11.34,3.70,0.30,0.00
11.37,3.70,0.80,0.00
11.40,3.70,-4.00,16.00
11.43,3.68,-2.30,10.00
11.43,3.70,-11.00,40.00
11.46,3.70,-15.10,56.00
11.49,3.71,-14.00,52.00
11.52,3.70,-12.60,50.00
11.55,3.66,76.50,50.00
11.55,3.70,-11.70,40.00
11.58,3.70,-12.30,204.00
11.61,3.70,-13.30,50.00
11.64,3.70,-14.30,52.00
11.67,3.69,7.60,30.00
11.67,3.70,-12.10,46.00
11.70,3.70,-10.80,40.00
11.73,3.70,-7.00,26.00
11.76,3.70,-7.20,30.00
11.79,3.66,103.40,14.00
11.79,3.70,-1.10,6.00
11.82,3.70,-0.20,0.00
11.85,3.70,3.40,14.00
11.88,3.70,5.80,22.00
11.91,3.67,60.50,40.00
11.91,3.70,11.70,150.00
11.94,3.69,45.90,14.00
11.97,3.70,14.80,196.00
12.03,3.69,18.20,66.00
12.03,3.67,19.40,72.00
12.03,3.69,22.50,82.00
12.06,3.69,24.30,88.00
12.09,3.69,24.00,88.00
12.12,3.69,26.00,96.00
12.15,3.65,103.90,92.00
12.15,3.69,26.50,128.00
12.18,3.69,26.10,96.00
12.21,3.69,26.50,96.00
12.24,3.69,24.40,88.00
12.30,3.67,32.10,118.00
12.30,3.69,55.30,204.00
12.30,3.70,17.20,62.00
12.33,3.70,13.70,50.00
12.39,3.70,11.20,40.00
12.39,3.68,5.20,16.00
12.39,3.70,0.00,0.00
12.42,3.70,-1.20,204.00
12.45,3.70,-8.30,30.00
12.48,3.70,-11.90,42.00
12.51,3.69,21.80,82.00
12.51,3.71,-12.20,46.00
12.54,3.70,-13.00,50.00
12.57,3.70,-11.60,46.00
12.60,3.70,-14.20,56.00
12.63,3.67,91.80,50.00
12.63,3.70,-11.10,36.00
12.66,3.71,-14.90,56.00
12.69,3.70,-12.90,50.00
12.72,3.71,-15.30,56.00
12.75,3.69,53.10,196.00
12.75,3.70,-12.50,32.00
12.78,3.70,-13.80,204.00
12.81,3.70,-14.20,52.00
12.84,3.70,-13.50,52.00
12.87,3.69,-9.50,36.00
12.87,3.70,-13.20,50.00
12.90,3.71,-14.00,52.00
12.93,3.71,-15.00,56.00
12.96,3.70,-14.40,52.00
12.99,3.66,77.60,50.00
12.99,3.70,-13.80,42.00
13.02,3.70,-9.50,204.00
13.05,3.70,-6.30,30.00
