Time_s,Voltage_V,Current_mA,Power_mW
4.47,3.72,-96.00,358.00
4.51,3.72,-95.90,358.00
4.53,3.72,-94.20,350.00
4.56,3.70,-95.00,354.00
4.59,3.69,-54.10,200.00
4.59,3.72,-94.80,354.00
4.62,3.72,-94.00,354.00
4.65,3.72,-93.20,350.00
4.68,3.71,-91.20,350.00
4.71,3.69,46.40,0.00
4.71,3.72,-93.80,350.00
4.74,3.72,-92.80,350.00
4.77,3.72,-94.30,350.00
4.80,3.69,-93.80,350.00
4.83,3.68,-18.40,68.00
4.83,3.72,-94.70,354.00
4.86,3.72,-96.00,358.00
4.89,3.73,-95.00,354.00
4.92,3.72,-93.40,350.00
4.92,3.69,60.70,0.00
4.95,3.72,-94.20,350.00
4.98,3.72,-95.90,360.00
5.01,3.73,-93.60,350.00
5.04,3.69,-94.50,354.00
5.10,3.67,23.90,88.00
5.10,3.72,-95.00,354.00
5.10,3.72,-77.00,286.00
5.14,3.72,-94.20,350.00
5.19,3.69,-94.90,354.00
5.19,3.69,-54.20,200.00
5.19,3.72,-75.60,282.00
5.22,3.72,-94.40,354.00
5.25,3.72,-92.90,350.00
5.28,3.71,-90.80,350.00
5.31,3.69,-32.90,0.00
5.31,3.72,-93.80,350.00
5.37,3.72,-93.40,350.00
5.37,3.72,-73.90,282.00
5.40,3.69,-94.90,354.00
5.43,3.69,-26.30,98.00
5.43,3.72,-93.90,350.00
5.46,3.72,-95.70,358.00
5.52,3.72,-95.10,354.00
5.52,3.70,-76.20,286.00
5.52,3.72,-73.80,0.00
5.55,3.72,-93.50,350.00
5.58,3.72,-95.50,358.00
5.64,3.73,-94.60,358.00
5.64,3.72,-75.00,282.00
5.64,3.72,-72.30,16.00
5.67,3.72,-94.90,354.00
5.70,3.72,-96.30,360.00
5.73,3.72,-95.30,358.00
5.76,3.69,-95.30,358.00
5.79,3.68,31.00,114.00
5.79,3.72,-95.00,354.00
5.82,3.72,-94.90,354.00
5.85,3.72,-93.70,350.00
5.88,3.71,-93.40,358.00
5.91,3.69,56.90,0.00
5.91,3.72,-94.10,354.00
5.94,3.72,-94.10,354.00
5.97,3.72,-92.70,350.00
6.00,3.69,-95.00,354.00
6.03,3.69,-24.50,92.00
6.03,3.73,-94.30,350.00
6.06,3.73,-94.50,354.00
6.09,3.73,-95.60,358.00
6.12,3.72,-93.60,350.00
6.15,3.68,-74.00,276.00
6.18,3.72,-93.30,350.00
6.18,3.72,-94.00,350.00
6.21,3.72,-95.80,360.00
6.24,3.69,-84.20,354.00
6.30,3.69,53.20,14.00
6.30,3.72,-93.40,354.00
6.30,3.72,-76.50,286.00
6.33,3.72,-96.00,358.00
6.36,3.69,-95.00,354.00
6.39,3.68,-52.40,194.00
6.39,3.73,-95.10,354.00
6.42,3.73,-94.60,354.00
6.45,3.72,-94.30,350.00
6.48,3.71,-95.10,360.00
6.51,3.69,57.60,0.00
6.51,3.72,-95.30,358.00
6.54,3.72,-93.50,350.00
6.57,3.72,-93.40,354.00
6.60,3.69,-95.70,358.00
6.66,3.68,-6.30,22.00
6.66,3.72,-96.00,358.00
6.66,3.72,-74.70,278.00
6.72,3.72,-95.80,358.00
6.72,3.70,-75.80,282.00
6.72,3.72,-73.70,272.00
6.75,3.72,-94.20,350.00
6.81,3.72,-93.20,350.00
6.81,3.72,-76.00,286.00
6.87,3.70,35.40,354.00
6.87,3.68,58.30,0.00
6.87,3.72,-73.80,282.00
6.90,3.72,-94.60,354.00
6.93,3.72,-95.90,358.00
6.96,3.69,-94.50,354.00
7.02,3.70,77.70,288.00
7.02,3.72,-96.50,360.00
7.02,3.72,-75.70,282.00
7.08,3.72,-94.60,354.00
7.08,3.72,-75.00,282.00
7.08,3.72,-72.00,0.00
7.11,3.72,-95.90,360.00
7.14,3.72,-94.30,350.00
7.17,3.72,-94.20,350.00
7.20,3.69,-96.30,360.00
7.23,3.68,-20.60,76.00
7.23,3.72,-95.90,358.00
