Time_s,Voltage_V,Current_mA,Power_mW
4.77,4.04,126.50,488.00
4.77,4.07,53.40,216.00
4.80,4.07,52.00,210.00
4.83,4.07,52.80,212.00
4.86,4.06,51.70,210.00
4.89,4.04,127.90,548.00
4.89,4.07,54.50,220.00
4.92,4.07,51.10,210.00
4.95,4.06,53.80,216.00
4.98,4.07,51.90,210.00
5.01,4.04,128.20,518.00
5.01,4.07,51.50,210.00
5.04,4.06,52.80,212.00
5.07,4.07,54.80,220.00
5.10,4.07,52.10,212.00
5.13,4.04,131.60,518.00
5.13,4.06,52.00,210.00
5.16,4.06,53.50,216.00
5.20,4.07,52.10,212.00
5.22,4.06,52.80,212.00
5.25,4.04,129.00,488.00
5.25,4.07,52.20,216.00
5.28,4.07,54.30,216.00
5.31,4.06,51.60,210.00
5.34,4.06,53.10,216.00
5.37,4.05,127.70,514.00
5.40,4.06,53.10,212.00
5.40,4.07,53.30,212.00
5.44,4.07,53.20,216.00
5.46,4.06,55.00,216.00
5.49,4.04,126.10,508.00
5.49,4.07,53.30,216.00
5.52,4.07,53.00,216.00
5.55,4.06,53.20,212.00
5.58,4.07,52.40,210.00
5.61,4.05,130.00,498.00
5.61,4.06,53.10,216.00
5.64,4.06,51.80,210.00
5.67,4.06,53.20,216.00
5.70,4.06,53.10,216.00
5.74,4.04,127.10,472.00
5.74,4.07,52.10,210.00
5.76,4.06,54.00,216.00
5.79,4.06,53.20,216.00
5.82,4.06,51.60,210.00
5.85,4.04,128.20,518.00
5.85,4.06,52.90,216.00
5.88,4.07,54.00,220.00
5.91,4.07,51.50,206.00
5.94,4.07,53.80,216.00
5.97,4.04,128.20,518.00
5.97,4.06,51.90,210.00
6.00,4.07,51.80,210.00
6.03,4.07,52.70,212.00
6.06,4.07,54.50,220.00
6.09,4.04,127.80,484.00
6.09,4.06,53.30,216.00
6.12,4.06,52.60,212.00
6.15,4.06,52.40,212.00
6.18,4.07,52.10,212.00
6.21,4.05,127.60,544.00
6.21,4.07,54.90,220.00
6.24,4.07,51.30,210.00
6.27,4.06,53.70,216.00
6.30,4.06,52.10,212.00
6.33,4.04,128.70,522.00
6.33,4.06,51.50,210.00
6.36,4.06,53.10,216.00
6.39,4.07,54.40,220.00
6.42,4.07,51.50,210.00
6.45,4.05,131.00,518.00
6.45,4.06,51.80,210.00
6.48,4.06,53.50,216.00
6.51,4.07,51.70,210.00
6.54,4.06,53.00,216.00
6.57,4.04,128.90,494.00
6.57,4.07,52.60,216.00
6.60,4.06,53.80,216.00
6.63,4.07,51.60,210.00
6.66,4.07,53.10,216.00
6.69,4.05,127.90,514.00
6.69,4.06,52.80,212.00
