Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.04,53.40,216.00
0.03,4.04,78.50,338.00
0.06,4.03,59.80,242.00
0.09,4.04,127.70,512.00
0.09,4.04,53.30,216.00
0.12,4.03,53.70,212.00
0.15,4.03,83.30,330.00
0.21,4.03,84.40,216.00
0.21,4.03,129.40,518.00
0.21,4.04,51.60,206.00
0.24,4.04,53.40,216.00
0.27,4.04,82.10,330.00
0.30,4.03,83.10,212.00
0.33,4.01,131.20,512.00
0.33,4.04,54.30,220.00
0.36,4.04,54.80,216.00
0.45,4.04,82.10,330.00
0.45,4.03,71.40,288.00
0.45,4.02,127.90,512.00
0.45,4.04,53.90,216.00
0.48,4.04,52.90,212.00
0.51,4.04,83.50,338.00
0.54,4.03,54.80,220.00
0.57,4.04,127.30,512.00
0.57,4.04,53.70,216.00
0.60,4.04,53.20,216.00
0.63,4.03,83.40,334.00
0.69,4.03,82.10,210.00
0.69,4.01,129.00,528.00
0.69,4.04,53.50,216.00
0.72,4.04,51.90,210.00
0.75,4.04,83.50,338.00
0.78,4.04,80.50,324.00
0.81,4.02,130.30,530.00
0.81,4.04,52.40,210.00
0.87,4.04,53.90,216.00
0.87,4.04,83.20,334.00
0.90,4.03,62.90,252.00
0.93,4.02,128.00,514.00
0.93,4.04,53.10,212.00
0.96,4.04,54.90,216.00
0.99,4.04,80.80,324.00
1.02,4.03,83.90,216.00
1.05,4.01,128.90,518.00
1.05,4.04,51.90,210.00
1.08,4.04,53.00,212.00
1.11,4.04,83.40,334.00
1.14,4.03,83.90,220.00
1.17,4.02,126.80,514.00
1.17,4.04,53.80,216.00
1.23,4.04,53.30,216.00
1.23,4.04,81.70,328.00
1.26,4.02,170.00,266.00
1.29,4.03,128.10,514.00
1.29,4.04,55.10,220.00
1.32,4.04,51.70,206.00
1.35,4.04,78.10,330.00
1.38,4.03,56.70,230.00
1.41,4.01,128.50,514.00
1.41,4.04,52.10,210.00
1.44,4.04,53.10,212.00
1.47,4.03,85.10,340.00
1.50,4.03,80.70,204.00
1.53,4.01,129.20,518.00
1.53,4.04,53.30,216.00
1.56,4.04,52.50,212.00
1.59,4.04,81.80,328.00
1.62,4.04,83.10,334.00
1.65,4.02,129.80,530.00
1.65,4.04,51.90,206.00
1.68,4.04,53.90,216.00
1.71,4.04,82.00,330.00
1.74,4.04,65.90,266.00
1.77,4.02,127.20,512.00
1.77,4.04,53.10,212.00
1.80,4.04,55.20,220.00
1.83,4.04,82.70,330.00
1.86,4.03,83.00,216.00
1.89,4.01,127.10,508.00
1.89,4.04,53.10,212.00
1.92,4.04,52.00,210.00
1.98,4.03,83.00,334.00
1.98,4.03,85.00,220.00
2.01,4.01,129.10,530.00
2.01,4.04,54.00,216.00
2.04,4.04,52.40,212.00
2.07,4.04,82.40,330.00
2.10,4.04,75.00,302.00
2.13,4.01,128.20,514.00
2.13,4.04,55.00,220.00
2.16,4.04,52.30,212.00
2.19,4.04,80.50,338.00
2.22,4.03,57.30,230.00
2.25,4.02,129.30,518.00
2.25,4.04,52.00,210.00
2.28,4.04,53.20,212.00
2.31,4.03,84.90,340.00
2.34,4.03,83.10,212.00
2.37,4.01,130.50,518.00
2.37,4.04,51.70,210.00
2.40,4.04,53.90,216.00
2.43,4.04,81.60,328.00
2.46,4.04,83.10,334.00
2.49,4.02,133.00,518.00
2.49,4.04,52.30,210.00
2.52,4.04,53.90,216.00
2.55,4.03,83.80,338.00
2.58,4.03,51.90,210.00
2.61,4.03,124.30,498.00
2.61,4.04,53.20,212.00
2.64,4.04,54.40,216.00
2.67,4.03,82.20,324.00
2.70,4.03,53.70,216.00
2.73,4.02,128.40,514.00
2.73,4.04,51.80,210.00
2.76,4.04,53.00,212.00
2.79,4.03,82.30,330.00
2.82,4.03,55.00,220.00
2.85,4.02,127.60,504.00
2.85,4.04,54.10,216.00
2.88,4.04,53.70,216.00
2.91,4.03,82.00,330.00
2.97,4.03,52.60,212.00
2.97,4.02,131.10,524.00
2.97,4.04,55.20,220.00
3.00,4.04,51.80,206.00
3.03,4.03,84.10,334.00
3.09,4.03,53.40,216.00
3.09,4.02,127.20,508.00
3.09,4.04,52.60,212.00
3.12,4.04,53.10,212.00
3.15,4.03,84.20,334.00
3.18,4.03,52.00,206.00
3.21,4.02,128.90,518.00
3.21,4.04,53.10,212.00
3.24,4.04,52.50,212.00
3.27,4.03,82.20,330.00
3.30,4.04,53.30,216.00
3.33,4.02,132.50,522.00
3.33,4.04,52.10,206.00
3.36,4.04,53.80,216.00
3.39,4.03,82.70,334.00
