Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.05,51.80,210.00
0.03,4.05,52.90,212.00
0.06,4.05,53.00,212.00
0.09,4.03,130.40,522.00
0.09,4.05,52.00,206.00
0.12,4.05,53.70,216.00
0.15,4.05,53.40,216.00
0.18,4.04,51.70,210.00
0.21,4.02,127.50,512.00
0.21,4.05,53.20,216.00
0.24,4.05,54.90,220.00
0.27,4.05,51.80,206.00
0.30,4.04,54.10,216.00
0.33,4.03,131.80,530.00
0.33,4.05,52.20,210.00
0.36,4.05,52.70,212.00
0.39,4.05,53.20,216.00
0.42,4.05,54.80,220.00
0.45,4.03,127.20,518.00
0.45,4.05,53.70,216.00
0.48,4.05,53.40,216.00
0.51,4.05,52.50,212.00
0.54,4.05,52.30,212.00
0.57,4.03,128.20,514.00
0.57,4.05,55.10,220.00
0.60,4.05,51.90,206.00
0.63,4.05,53.70,216.00
0.66,4.05,53.30,216.00
0.69,4.02,127.90,514.00
0.69,4.05,52.40,212.00
0.72,4.05,53.10,216.00
0.75,4.05,55.10,220.00
0.78,4.05,52.00,206.00
0.81,4.03,128.80,524.00
0.81,4.04,53.20,216.00
0.87,4.05,52.30,210.00
0.87,4.05,52.20,210.00
0.90,4.05,53.10,212.00
0.93,4.03,129.60,522.00
0.93,4.05,51.50,206.00
0.99,4.05,54.00,216.00
0.99,4.04,53.30,216.00
1.02,4.05,52.20,210.00
1.05,4.02,127.10,512.00
1.05,4.05,53.00,212.00
1.08,4.05,55.00,220.00
1.11,4.05,51.90,206.00
1.14,4.05,54.10,216.00
1.17,4.02,130.80,524.00
1.17,4.05,52.40,212.00
1.20,4.05,52.00,210.00
1.23,4.05,53.30,216.00
1.26,4.05,55.20,220.00
1.29,4.03,127.00,518.00
1.29,4.05,54.00,216.00
1.32,4.05,52.90,212.00
1.35,4.05,53.00,212.00
1.38,4.04,52.10,210.00
1.41,4.02,128.30,514.00
1.41,4.05,55.00,220.00
1.44,4.05,51.70,206.00
1.47,4.05,54.10,216.00
1.50,4.05,53.00,212.00
1.53,4.02,128.00,514.00
1.53,4.05,51.80,210.00
1.56,4.05,53.10,216.00
1.59,4.05,55.10,220.00
1.62,4.05,52.00,210.00
1.65,4.02,129.10,528.00
1.65,4.05,52.80,212.00
1.68,4.05,52.70,212.00
1.71,4.05,51.70,210.00
1.74,4.04,53.10,212.00
1.77,4.03,129.80,530.00
1.77,4.05,52.10,210.00
1.80,4.05,53.90,216.00
1.83,4.05,52.20,210.00
1.86,4.04,53.20,216.00
1.89,4.02,127.30,512.00
1.89,4.05,52.80,212.00
1.92,4.05,55.20,220.00
1.95,4.05,52.10,210.00
1.98,4.05,53.90,216.00
2.01,4.02,129.30,518.00
2.01,4.05,53.20,216.00
2.04,4.05,52.00,210.00
2.07,4.04,53.10,216.00
2.10,4.05,54.90,220.00
2.13,4.03,127.70,524.00
2.13,4.04,54.00,216.00
2.16,4.04,52.10,210.00
2.19,4.05,53.40,216.00
2.22,4.05,52.10,210.00
2.28,4.02,128.90,518.00
2.28,4.05,54.80,220.00
2.28,4.05,52.30,210.00
2.31,4.05,54.20,216.00
2.34,4.04,52.10,210.00
2.37,4.02,128.80,518.00
2.37,4.05,52.00,210.00
2.40,4.05,53.10,212.00
2.43,4.05,54.90,220.00
2.46,4.05,52.70,212.00
2.49,4.03,129.90,528.00
2.49,4.05,51.90,210.00
2.52,4.04,53.90,220.00
2.55,4.05,52.60,212.00
2.61,4.04,53.50,216.00
2.61,4.03,130.20,534.00
2.61,4.05,52.50,212.00
2.64,4.05,54.30,216.00
2.67,4.05,52.00,210.00
2.70,4.04,53.90,220.00
2.73,4.02,127.60,512.00
2.73,4.04,53.50,216.00
2.76,4.05,55.00,220.00
2.79,4.05,53.00,212.00
2.82,4.05,54.80,216.00
2.85,4.02,127.20,512.00
2.85,4.05,54.30,220.00
2.91,4.05,52.40,212.00
2.91,4.04,53.60,216.00
2.94,4.05,54.50,220.00
2.97,4.02,128.10,524.00
2.97,4.04,55.00,216.00
3.00,4.05,51.60,210.00
3.03,4.05,53.90,220.00
3.06,4.05,52.50,212.00
3.09,4.02,128.50,514.00
3.09,4.05,54.30,220.00
