Time_s,Voltage_V,Current_mA,Power_mW
4.74,4.02,72.50,288.00
4.77,4.01,79.30,334.00
4.80,4.02,73.30,294.00
4.83,4.00,122.10,488.00
4.83,4.02,74.80,298.00
4.86,4.02,74.70,298.00
4.89,4.02,81.20,302.00
4.92,4.02,71.70,298.00
4.95,3.99,219.30,340.00
4.95,4.02,74.80,298.00
4.98,4.02,80.70,324.00
5.01,4.02,71.50,286.00
5.04,4.02,80.30,322.00
5.13,4.00,242.10,288.00
5.13,4.02,74.20,314.00
5.13,4.02,79.40,294.00
5.13,4.01,77.30,312.00
5.16,4.02,76.90,308.00
5.19,4.00,146.70,586.00
5.19,4.01,81.30,324.00
5.22,4.02,74.10,302.00
5.25,4.02,77.60,314.00
5.28,4.02,75.00,292.00
5.31,4.00,248.40,992.00
5.31,4.02,73.50,294.00
5.34,4.02,77.10,308.00
5.37,4.02,76.50,308.00
5.40,4.02,75.20,328.00
5.43,4.00,236.60,322.00
5.43,4.02,74.00,312.00
5.46,4.01,77.90,312.00
5.49,4.02,73.30,294.00
5.52,4.02,79.40,318.00
5.55,4.00,217.20,294.00
5.55,4.02,80.30,334.00
5.58,4.02,76.00,292.00
5.61,4.02,76.30,314.00
5.64,4.02,72.80,292.00
5.67,3.99,138.00,554.00
5.67,4.02,77.70,312.00
5.70,4.02,72.90,292.00
5.73,4.02,82.00,304.00
5.76,4.02,73.90,298.00
5.79,3.99,93.60,374.00
5.79,4.02,71.10,286.00
5.82,4.01,79.60,318.00
5.85,4.02,73.30,294.00
5.88,4.02,78.50,328.00
5.91,4.00,232.50,298.00
5.91,4.01,74.40,330.00
5.94,4.02,75.50,302.00
5.97,4.02,73.20,294.00
6.03,4.01,79.90,322.00
6.03,4.00,72.30,288.00
6.03,4.02,81.10,318.00
6.06,4.02,71.70,286.00
6.09,4.01,79.80,330.00
6.12,4.02,73.10,294.00
6.15,4.00,246.30,980.00
6.15,4.02,73.70,294.00
6.18,4.02,75.50,302.00
6.21,4.02,80.20,298.00
6.24,4.02,71.50,304.00
6.27,3.99,86.90,348.00
6.27,4.02,73.70,294.00
6.30,4.01,80.30,322.00
6.34,4.02,71.00,286.00
6.36,4.01,78.60,314.00
6.39,4.00,236.90,286.00
6.39,4.02,76.10,318.00
6.42,4.02,77.90,294.00
6.45,4.01,78.50,314.00
6.48,4.02,76.10,304.00
6.51,4.00,167.00,668.00
6.51,4.01,79.90,322.00
6.54,4.02,74.10,312.00
6.60,4.02,79.30,312.00
6.60,4.02,74.50,292.00
6.63,4.00,248.70,992.00
6.63,4.02,73.20,294.00
6.66,4.02,79.40,318.00
6.69,4.02,74.40,298.00
6.72,4.02,76.90,322.00
6.81,4.00,228.30,774.00
6.81,4.01,74.50,322.00
6.81,4.02,75.60,302.00
6.81,4.01,74.00,298.00
6.84,4.01,81.30,324.00
6.88,4.00,217.50,466.00
6.88,4.02,78.80,328.00
6.90,4.02,75.00,294.00
6.93,4.01,78.50,322.00
6.96,4.01,71.80,288.00
6.99,3.99,147.20,590.00
6.99,4.02,75.90,304.00
7.05,4.02,74.30,322.00
7.05,4.02,80.20,298.00
7.08,4.02,73.80,308.00
7.11,3.99,102.30,410.00
7.11,4.02,71.30,286.00
7.14,4.01,82.50,330.00
7.17,4.02,72.40,292.00
7.23,4.02,81.30,328.00
7.23,4.00,112.20,286.00
7.23,4.02,76.00,324.00
7.26,4.02,73.90,294.00
7.29,4.02,76.30,304.00
7.32,4.02,76.30,304.00
7.35,4.00,209.90,324.00
7.35,4.02,82.40,312.00
7.38,4.02,71.10,292.00
7.41,4.02,79.50,318.00
7.44,4.02,72.80,292.00
7.47,3.99,137.30,550.00
7.47,4.02,71.60,288.00
7.50,4.02,79.30,318.00
7.53,4.02,76.60,294.00
7.56,4.02,74.00,308.00
7.59,3.99,85.20,340.00
7.62,4.02,76.90,308.00
7.62,4.02,77.10,308.00
7.65,4.02,71.40,286.00
7.68,4.01,81.40,328.00
7.71,4.00,230.90,294.00
7.71,4.02,77.60,322.00
7.74,4.02,74.70,292.00
7.77,4.01,78.20,314.00
7.80,4.02,73.70,294.00
7.83,4.00,189.00,748.00
7.83,4.02,75.50,302.00
7.86,4.02,76.00,328.00
7.89,4.01,79.70,298.00
7.92,4.01,74.40,308.00
7.95,3.99,125.00,502.00
7.95,4.02,73.70,294.00
8.04,4.01,81.20,324.00
8.04,4.02,72.70,292.00
8.04,4.02,79.90,324.00
8.07,4.00,210.80,780.00
8.07,4.01,78.90,318.00
8.10,4.02,71.40,286.00
8.13,4.01,79.30,318.00
8.16,4.02,75.70,304.00
8.19,4.00,227.40,558.00
8.19,4.02,80.00,304.00
8.22,4.02,73.30,308.00
8.25,4.02,80.90,314.00
8.28,4.02,71.30,286.00
8.31,3.99,199.90,792.00
8.31,4.02,72.30,288.00
8.34,4.02,80.10,324.00
8.37,4.01,74.10,286.00
8.40,4.01,77.10,322.00
8.43,3.99,108.00,432.00
8.43,4.02,76.90,308.00
8.46,4.02,76.40,308.00
8.49,4.02,73.30,294.00
8.52,4.01,82.30,304.00
8.55,4.00,226.20,324.00
8.55,4.02,80.10,324.00
8.61,4.02,72.90,292.00
8.61,4.02,81.40,328.00
8.64,4.02,72.30,292.00
8.67,4.00,227.60,328.00
8.67,4.02,76.30,302.00
8.70,4.02,74.30,308.00
8.73,4.01,79.30,294.00
8.76,4.01,78.40,314.00
8.79,4.00,148.90,596.00
8.79,4.02,72.00,288.00
8.82,4.01,80.00,322.00
8.88,4.02,74.00,308.00
8.88,4.02,78.50,312.00
8.91,3.99,165.00,976.00
8.91,4.02,80.90,324.00
8.94,4.02,73.00,292.00
9.00,4.01,78.60,314.00
9.00,4.02,74.40,298.00
9.03,4.00,227.50,630.00
9.06,4.02,77.40,298.00
9.06,4.02,74.20,314.00
9.09,4.02,74.70,298.00
9.15,4.02,75.00,302.00
9.15,3.99,79.80,322.00
9.15,4.02,72.40,308.00
9.18,4.02,81.40,318.00
9.21,4.02,73.40,292.00
9.24,4.01,81.10,330.00
9.27,4.00,132.70,530.00
9.27,4.02,80.40,322.00
9.30,4.02,73.40,294.00
9.33,4.01,77.40,312.00
9.36,4.01,77.80,292.00
9.39,3.99,192.10,368.00
9.42,4.02,83.00,302.00
9.42,4.01,73.50,294.00
9.45,4.01,79.50,318.00
9.48,4.02,72.50,292.00
9.51,4.00,243.30,318.00
9.51,4.02,72.70,302.00
9.54,4.02,81.80,328.00
9.57,4.01,72.90,292.00
9.60,4.02,78.20,314.00
9.63,4.00,177.50,712.00
9.63,4.02,78.10,314.00
9.66,4.02,77.00,292.00
9.69,4.02,73.20,314.00
9.72,4.01,80.60,298.00
9.75,4.00,127.40,512.00
9.75,4.02,76.60,308.00
9.78,4.02,72.40,292.00
9.81,4.01,81.20,324.00
9.84,4.02,74.30,304.00
9.87,4.00,224.20,836.00
9.87,4.02,74.10,292.00
9.93,4.02,80.20,322.00
9.93,4.02,71.90,288.00
9.96,4.01,79.40,318.00
9.99,4.00,219.90,534.00
9.99,4.02,77.70,328.00
10.02,4.02,76.30,288.00
10.05,4.01,73.40,318.00
10.08,4.02,75.30,302.00
10.11,4.00,158.80,636.00
10.11,4.01,78.10,312.00
10.14,4.02,72.40,292.00
10.17,4.02,80.90,314.00
10.20,4.02,72.40,288.00
10.23,4.00,156.20,494.00
10.23,4.02,71.40,286.00
10.26,4.01,79.30,318.00
10.29,4.02,72.50,292.00
10.35,4.02,78.40,314.00
10.35,4.00,134.50,294.00
10.35,4.02,74.10,330.00
10.38,4.02,81.60,298.00
10.41,4.01,74.80,298.00
10.44,4.02,78.60,314.00
10.47,4.00,210.80,842.00
10.47,4.01,81.50,308.00
10.50,4.02,73.20,302.00
10.53,4.02,79.50,318.00
10.56,4.02,75.50,292.00
10.59,3.99,236.20,938.00
10.62,4.02,72.90,292.00
10.62,4.02,78.80,314.00
10.65,4.01,74.30,288.00
10.68,4.02,77.30,318.00
10.71,4.00,175.80,412.00
10.71,4.02,74.80,318.00
10.74,4.02,73.40,294.00
10.77,4.01,75.30,302.00
10.80,4.02,78.80,314.00
10.83,4.00,229.50,338.00
10.83,4.01,81.40,308.00
10.86,4.02,73.40,298.00
10.89,4.01,80.40,322.00
10.92,4.02,70.90,286.00
10.95,4.00,189.40,748.00
10.98,4.02,72.70,292.00
10.98,4.02,81.30,330.00
11.01,4.02,73.80,282.00
11.04,4.01,75.80,318.00
11.07,3.99,239.10,950.00
11.07,4.01,76.20,304.00
11.10,4.02,75.90,304.00
11.13,4.02,73.00,292.00
11.16,4.02,82.70,304.00
11.19,4.00,199.00,364.00
11.19,4.02,79.70,318.00
11.22,4.02,72.40,292.00
11.28,4.02,82.00,328.00
11.28,4.02,71.20,286.00
11.31,3.99,227.50,780.00
11.31,4.02,75.60,302.00
11.34,4.02,75.50,312.00
11.37,4.01,78.50,294.00
11.40,4.01,78.30,314.00
11.43,4.00,173.50,694.00
11.43,4.02,73.10,292.00
11.46,4.01,79.50,318.00
11.52,4.02,74.10,314.00
11.52,4.02,82.20,308.00
11.55,3.99,138.60,956.00
11.55,4.01,79.60,318.00
11.58,4.02,73.20,294.00
11.61,4.02,78.40,314.00
11.64,4.02,73.70,294.00
11.67,4.00,234.30,370.00
11.67,4.02,76.40,292.00
11.70,4.01,76.00,324.00
11.72,4.02,72.70,292.00
11.76,4.01,77.20,308.00
11.79,4.00,211.60,836.00
11.79,4.02,73.30,324.00
11.82,4.02,81.40,302.00
11.85,4.02,73.60,304.00
11.88,4.01,81.50,318.00
11.91,4.00,210.40,836.00
11.94,4.02,82.60,330.00
11.94,4.02,72.10,288.00
12.00,4.01,81.60,322.00
12.00,4.02,73.60,288.00
12.06,4.00,164.20,1006.00
12.06,4.02,73.20,294.00
12.06,4.02,78.60,314.00
12.08,4.02,74.30,298.00
12.12,4.02,76.10,304.00
12.15,4.00,234.60,328.00
12.15,4.02,72.00,312.00
12.17,4.02,81.50,304.00
12.21,4.01,75.10,302.00
12.24,4.02,77.50,312.00
12.27,4.00,182.30,720.00
12.27,4.01,81.60,328.00
12.30,4.02,74.10,302.00
