Time_s,Voltage_V,Current_mA,Power_mW
0.00,4.04,74.10,322.00
0.03,4.04,82.20,330.00
0.09,4.04,72.70,292.00
0.09,4.04,78.70,318.00
0.12,4.02,155.70,622.00
0.12,4.04,75.10,324.00
0.15,4.04,81.30,304.00
0.18,4.04,74.60,298.00
0.21,4.04,80.30,324.00
0.24,4.02,148.50,594.00
0.24,4.04,76.80,308.00
0.27,4.04,79.00,318.00
0.30,4.04,74.90,314.00
0.33,4.04,78.80,314.00
0.36,4.02,150.30,596.00
0.36,4.04,79.60,322.00
0.45,4.04,73.80,298.00
0.45,4.04,74.80,302.00
0.45,4.04,80.80,324.00
0.48,4.02,153.80,602.00
0.48,4.04,80.10,322.00
0.51,4.04,76.60,294.00
0.54,4.04,81.20,328.00
0.57,4.04,74.80,302.00
0.60,4.02,151.80,606.00
0.60,4.04,82.00,330.00
0.63,4.04,75.10,304.00
0.66,4.04,78.50,324.00
0.72,4.04,78.30,298.00
0.72,4.02,154.30,620.00
0.72,4.04,76.70,308.00
0.75,4.04,72.60,292.00
0.78,4.04,83.50,338.00
0.81,4.04,75.70,302.00
0.84,4.02,152.40,616.00
0.84,4.04,79.40,298.00
0.87,4.04,78.20,314.00
0.90,4.04,78.00,314.00
0.93,4.04,72.40,292.00
0.96,4.02,158.10,632.00
0.96,4.04,76.00,302.00
1.02,4.04,75.50,314.00
1.02,4.04,80.70,302.00
1.05,4.04,76.40,308.00
1.08,4.02,154.00,616.00
1.08,4.04,72.30,292.00
1.11,4.04,79.60,322.00
1.14,4.04,76.80,298.00
1.17,4.04,74.20,322.00
1.20,4.02,157.00,606.00
1.20,4.04,75.20,304.00
1.24,4.04,80.40,324.00
1.26,4.04,72.80,294.00
1.29,4.04,80.70,324.00
1.32,4.02,155.80,600.00
1.32,4.04,73.10,314.00
1.35,4.04,83.30,312.00
1.41,4.04,74.20,298.00
1.41,4.04,81.40,328.00
1.44,4.02,150.70,602.00
1.44,4.04,79.40,322.00
1.47,4.04,79.30,302.00
1.50,4.04,72.40,312.00
1.56,4.04,83.60,314.00
1.56,4.02,148.70,596.00
1.56,4.04,78.80,318.00
1.59,4.04,73.30,294.00
1.62,4.04,77.80,314.00
1.65,4.04,80.80,304.00
1.68,4.02,146.90,602.00
1.71,4.04,81.20,322.00
1.74,4.04,73.20,294.00
1.74,4.04,79.00,318.00
1.77,4.04,73.90,298.00
1.80,4.02,154.50,620.00
1.80,4.04,82.00,308.00
1.83,4.04,72.30,302.00
1.86,4.04,80.30,324.00
1.89,4.04,73.50,294.00
1.92,4.02,154.10,616.00
1.92,4.04,74.70,302.00
1.95,4.04,75.20,304.00
2.01,4.04,82.70,308.00
2.01,4.04,72.10,294.00
2.04,4.02,157.20,630.00
2.04,4.04,73.50,294.00
2.07,4.04,79.60,322.00
2.10,4.04,75.80,304.00
2.13,4.04,74.10,298.00
2.19,4.02,162.40,612.00
2.19,4.04,72.30,292.00
2.19,4.04,80.70,334.00
2.22,4.04,73.90,298.00
2.25,4.04,78.60,318.00
2.28,4.02,155.00,620.00
2.28,4.04,73.40,294.00
2.31,4.04,81.80,322.00
2.34,4.04,72.40,288.00
2.37,4.04,79.10,334.00
2.43,4.02,149.80,600.00
2.43,4.04,76.80,308.00
2.43,4.04,78.50,318.00
2.49,4.04,73.00,294.00
2.49,4.04,81.90,324.00
2.52,4.02,148.40,586.00
2.52,4.04,77.30,322.00
2.61,4.04,74.80,302.00
2.61,4.04,75.20,304.00
2.61,4.03,80.00,322.00
2.64,4.02,150.80,602.00
2.70,4.04,80.80,330.00
2.70,4.04,73.90,286.00
2.70,4.04,76.40,324.00
2.79,4.04,75.20,304.00
2.79,4.02,151.10,602.00
2.79,4.03,80.90,324.00
2.82,4.04,73.10,294.00
2.82,4.04,82.60,330.00
2.85,4.04,74.80,288.00
2.88,4.02,150.00,626.00
2.88,4.03,76.30,308.00
2.91,4.03,73.00,294.00
2.94,4.04,81.70,330.00
2.97,4.04,72.90,294.00
3.03,4.01,159.50,632.00
3.03,4.04,75.10,288.00
3.03,4.04,75.20,324.00
3.06,4.04,76.80,308.00
3.09,4.04,73.00,294.00
3.12,4.02,160.40,642.00
3.12,4.04,73.20,294.00
3.15,4.04,82.00,334.00
3.18,4.04,75.60,288.00
3.21,4.04,74.60,324.00
3.24,4.02,151.80,606.00
3.24,4.04,72.80,292.00
3.27,4.04,82.40,330.00
3.30,4.04,73.50,294.00
3.33,4.04,81.40,338.00
3.36,4.02,151.20,590.00
3.36,4.04,74.30,322.00
3.39,4.04,77.70,314.00
3.42,4.04,72.00,292.00
3.45,4.03,82.20,330.00
3.48,4.02,151.60,606.00
3.48,4.04,80.90,340.00
3.51,4.04,76.80,292.00
3.54,4.04,74.40,322.00
3.57,4.04,78.10,314.00
3.60,4.02,150.30,600.00
3.60,4.04,80.10,322.00
3.63,4.04,73.70,298.00
3.66,4.04,80.50,328.00
3.69,4.04,76.90,292.00
3.72,4.02,148.70,616.00
3.72,4.04,78.80,318.00
3.75,4.04,71.90,288.00
3.80,4.04,79.90,322.00
3.81,4.04,73.90,298.00
3.84,4.02,155.40,626.00
3.84,4.04,77.80,292.00
3.87,4.04,73.70,314.00
3.90,4.04,79.30,318.00
3.93,4.04,71.90,288.00
3.96,4.02,157.90,632.00
3.96,4.04,74.20,298.00
3.99,4.04,78.70,328.00
4.02,4.04,78.60,292.00
4.05,4.03,73.90,314.00
4.08,4.02,155.10,622.00
4.08,4.04,71.60,288.00
4.11,4.04,79.40,322.00
4.14,4.04,74.40,298.00
4.17,4.04,78.80,328.00
4.20,4.02,154.20,596.00
4.20,4.04,74.00,312.00
4.26,4.04,80.00,322.00
4.26,4.04,71.70,288.00
4.32,4.04,79.50,322.00
4.32,4.02,151.20,606.00
4.32,4.04,77.80,324.00
4.35,4.04,78.90,294.00
4.38,4.04,74.10,308.00
4.41,4.04,80.30,324.00
4.44,4.02,149.50,600.00
4.44,4.04,79.40,322.00
4.47,4.04,74.50,302.00
4.50,4.04,78.10,324.00
4.53,4.03,79.40,294.00
4.59,4.02,149.30,606.00
4.59,4.04,80.40,324.00
4.59,4.04,71.70,288.00
4.62,4.03,79.70,322.00
4.65,4.04,74.90,302.00
4.68,4.01,153.50,622.00
4.68,4.04,79.20,294.00
4.71,4.04,74.30,308.00
4.74,4.04,80.60,324.00
4.77,4.04,72.00,292.00
4.80,4.02,157.00,630.00
4.80,4.04,74.60,302.00
4.83,4.04,77.40,324.00
4.86,4.04,79.60,294.00
4.89,4.04,73.90,312.00
4.92,4.02,157.10,630.00
4.92,4.04,71.70,288.00
4.95,4.03,79.40,322.00
4.98,4.04,74.70,302.00
5.01,4.04,77.60,322.00
5.04,4.02,154.20,594.00
5.04,4.04,73.80,308.00
5.07,4.04,80.30,324.00
5.11,4.04,71.70,288.00
5.13,4.03,79.30,318.00
5.16,4.01,152.60,610.00
5.16,4.04,77.60,322.00
5.19,4.04,79.70,294.00
5.22,4.04,73.80,308.00
5.25,4.04,80.70,324.00
5.28,4.02,149.40,600.00
5.28,4.03,79.50,322.00
5.31,4.04,74.80,302.00
5.34,4.04,77.40,322.00
5.37,4.04,79.60,294.00
5.40,4.02,149.10,606.00
5.40,4.04,80.80,324.00
5.43,4.04,71.90,288.00
5.46,4.04,79.80,322.00
5.49,4.04,74.70,302.00
5.52,4.02,154.40,620.00
5.52,4.03,79.30,294.00
5.55,4.04,74.20,308.00
5.58,4.04,80.50,324.00
5.61,4.04,71.70,288.00
5.64,4.02,154.50,620.00
5.64,4.04,74.80,302.00
5.67,4.04,77.70,322.00
5.70,4.04,79.10,294.00
5.76,4.04,73.90,312.00
5.76,4.01,155.10,622.00
5.76,4.04,71.90,288.00
5.79,4.04,79.80,322.00
5.82,4.04,74.30,298.00
5.85,4.04,78.60,324.00
5.88,4.02,156.60,594.00
5.88,4.03,74.20,314.00
5.91,4.04,79.20,318.00
5.94,4.04,71.80,288.00
6.00,4.03,81.60,328.00
6.00,4.02,149.00,596.00
6.00,4.04,79.60,334.00
6.03,4.04,77.60,292.00
6.06,4.04,74.40,318.00
6.09,4.04,78.20,314.00
6.12,4.01,147.40,590.00
