Time_s,Voltage_V,Current_mA,Power_mW,Fan_State
3.87,3.69,-60.10,200.00,100%
3.90,3.69,-48.80,210.00,100%
3.93,3.69,-1.70,88.00,100%
3.93,3.68,73.70,268.00,100%
3.96,3.69,-53.10,196.00,100%
3.99,3.69,-57.00,210.00,100%
4.02,3.69,-52.60,194.00,100%
4.05,3.67,10.10,36.00,100%
4.05,3.64,80.40,292.00,100%
4.08,3.69,-56.30,212.00,100%
4.11,3.69,-51.40,194.00,100%
4.14,3.69,-57.20,212.00,100%
4.14,3.68,-0.40,88.00,100%
4.17,3.69,73.40,268.00,100%
4.20,3.69,-53.90,200.00,100%
4.23,3.69,-56.60,210.00,100%
4.26,3.69,-54.40,200.00,100%
4.29,3.67,8.70,32.00,100%
4.29,3.68,53.60,196.00,100%
4.32,3.69,-53.10,184.00,100%
4.35,3.68,-56.40,222.00,100%
4.38,3.69,-52.70,174.00,100%
4.41,3.68,-2.50,58.00,100%
4.41,3.69,81.90,302.00,100%
4.44,3.69,-60.60,222.00,100%
4.47,3.69,-50.10,186.00,100%
4.53,3.70,-59.80,220.00,100%
4.53,3.67,19.00,68.00,100%
4.53,3.67,73.80,268.00,100%
4.56,3.69,-51.60,212.00,100%
4.59,3.69,-56.70,190.00,100%
4.62,3.69,-54.40,220.00,100%
4.65,3.68,-3.70,92.00,100%
4.65,3.66,65.40,242.00,100%
4.68,3.69,-50.40,186.00,100%
4.71,3.69,-58.50,216.00,100%
4.74,3.69,-51.40,190.00,100%
4.77,3.67,4.50,16.00,100%
4.77,3.65,78.90,288.00,100%
4.80,3.69,-55.60,186.00,100%
4.83,3.68,-54.90,222.00,100%
4.86,3.69,-54.70,184.00,100%
4.89,3.68,-3.50,62.00,100%
4.89,3.69,83.20,304.00,100%
4.92,3.69,-60.80,226.00,100%
4.95,3.69,-48.90,180.00,100%
4.98,3.69,-60.00,222.00,100%
5.01,3.67,21.00,78.00,100%
5.01,3.65,73.20,268.00,100%
5.04,3.69,-51.20,212.00,100%
5.07,3.69,-57.10,194.00,100%
5.10,3.69,-53.90,216.00,100%
5.13,3.69,-4.60,88.00,100%
5.13,3.69,71.90,262.00,100%
5.16,3.69,-50.30,186.00,100%
5.19,3.69,-58.30,216.00,100%
5.22,3.69,-51.60,190.00,100%
5.25,3.67,3.60,14.00,100%
5.25,3.69,40.40,148.00,100%
5.28,3.69,-55.70,184.00,100%
5.31,3.69,-55.10,226.00,100%
5.34,3.69,-54.60,176.00,100%
5.37,3.69,15.90,58.00,100%
5.37,3.69,82.30,302.00,100%
5.40,3.69,-60.90,226.00,100%
5.43,3.69,-49.40,184.00,100%
5.46,3.69,-59.20,220.00,100%
5.49,3.69,18.00,66.00,100%
5.49,3.68,74.30,272.00,100%
5.52,3.68,-52.60,212.00,100%
5.55,3.69,-55.00,186.00,100%
5.58,3.69,-55.50,216.00,100%
5.61,3.69,-5.60,98.00,100%
5.61,3.67,72.10,266.00,100%
5.64,3.69,-53.00,196.00,100%
5.67,3.69,-57.30,212.00,100%
5.70,3.69,-54.50,200.00,100%
5.73,3.69,6.50,22.00,100%
5.73,3.66,75.20,276.00,100%
5.76,3.69,-51.10,176.00,100%
5.79,3.69,-57.60,222.00,100%
5.82,3.69,-49.90,186.00,100%
5.85,3.69,-6.70,62.00,100%
5.85,3.68,78.60,288.00,100%
5.88,3.69,-58.60,216.00,100%
5.91,3.69,-54.60,204.00,100%
5.94,3.69,-55.00,204.00,100%
5.97,3.69,8.90,32.00,100%
5.97,3.64,79.10,288.00,100%
6.00,3.69,-56.20,216.00,100%
6.03,3.69,-50.90,194.00,100%
6.06,3.69,-58.20,212.00,100%
6.12,3.69,-5.90,82.00,100%
6.12,3.69,74.70,272.00,100%
6.12,3.69,-56.40,210.00,100%
6.15,3.69,-54.50,200.00,100%
6.18,3.69,-56.90,210.00,100%
6.21,3.69,8.00,30.00,100%
6.21,3.69,3.20,14.00,100%
6.27,3.69,-49.10,184.00,100%
6.27,3.69,-58.50,220.00,100%
6.30,3.69,-50.30,186.00,100%
6.33,3.69,-8.40,68.00,100%
6.33,3.69,77.80,286.00,100%
6.36,3.69,-57.90,212.00,100%
6.39,3.69,-54.80,204.00,100%
6.42,3.69,-55.10,204.00,100%
6.45,3.69,7.60,30.00,100%
6.45,3.69,70.70,258.00,100%
6.48,3.69,-55.20,216.00,100%
6.51,3.69,-51.20,186.00,100%
6.54,3.69,-56.80,212.00,100%
6.57,3.69,-7.30,92.00,100%
6.57,3.68,74.00,268.00,100%
6.60,3.69,-54.40,200.00,100%
6.63,3.69,-56.70,210.00,100%
6.66,3.65,-55.60,206.00,100%
6.69,3.69,6.00,22.00,100%
6.69,3.67,74.90,272.00,100%
6.72,3.69,-51.10,176.00,100%
6.75,3.69,-57.30,220.00,100%
6.78,3.68,-49.80,180.00,100%
6.81,3.69,-11.40,62.00,100%
6.81,3.68,-50.00,288.00,100%
6.84,3.69,-58.60,216.00,100%
