Time_s,Voltage_V,Current_mA,Power_mW,Fan_State
77.85,3.69,-58.90,186.00,100%
77.88,3.67,26.10,66.00,100%
77.88,3.66,73.70,170.00,100%
77.91,3.69,-56.20,206.00,100%
77.94,3.69,-56.90,210.00,100%
77.97,3.69,-51.40,190.00,100%
78.00,3.67,19.80,72.00,100%
78.00,3.66,-42.70,158.00,100%
78.03,3.69,-57.90,196.00,100%
78.06,3.69,-48.70,196.00,100%
78.09,3.69,-59.50,216.00,100%
78.12,3.67,26.70,88.00,100%
78.12,3.66,74.90,194.00,100%
78.15,3.69,-49.40,184.00,100%
78.18,3.69,-60.20,222.00,100%
78.21,3.69,-50.10,186.00,100%
78.24,3.67,19.00,68.00,100%
78.24,3.66,-44.50,164.00,100%
78.27,3.69,-55.80,206.00,100%
78.30,3.69,-53.40,184.00,100%
78.33,3.69,-54.70,222.00,100%
78.36,3.67,18.90,92.00,100%
78.36,3.66,12.80,186.00,100%
78.39,3.69,-52.20,194.00,100%
78.42,3.69,-57.40,212.00,100%
78.45,3.69,-54.60,204.00,100%
78.48,3.67,23.40,86.00,100%
78.48,3.65,-32.50,122.00,100%
78.51,3.69,-49.90,184.00,100%
78.54,3.69,-56.90,190.00,100%
78.57,3.69,-49.40,210.00,100%
78.60,3.67,17.40,76.00,100%
78.60,3.67,-44.00,170.00,100%
78.63,3.69,-57.70,212.00,100%
78.66,3.69,-51.40,190.00,100%
78.69,3.69,-58.40,216.00,100%
78.72,3.67,29.20,108.00,100%
78.72,3.66,-52.60,194.00,100%
78.75,3.69,-50.50,186.00,100%
78.78,3.69,-56.40,210.00,100%
78.81,3.69,-51.00,190.00,100%
78.84,3.67,18.40,58.00,100%
78.84,3.66,78.60,150.00,100%
78.87,3.69,-58.70,216.00,100%
78.90,3.69,-51.50,190.00,100%
78.93,3.69,-58.10,216.00,100%
78.96,3.67,27.60,102.00,100%
78.96,3.67,65.00,240.00,100%
78.99,3.69,-52.80,194.00,100%
79.02,3.69,-53.70,216.00,100%
79.05,3.69,-55.50,186.00,100%
79.08,3.67,22.20,58.00,100%
79.08,3.66,15.40,168.00,100%
79.11,3.69,-48.70,212.00,100%
79.14,3.69,-54.00,200.00,100%
79.17,3.69,-56.40,210.00,100%
79.20,3.67,22.30,82.00,100%
79.20,3.65,-18.70,68.00,100%
79.23,3.69,-52.10,194.00,100%
79.26,3.69,-58.00,212.00,100%
79.29,3.69,-50.90,180.00,100%
79.32,3.67,18.80,278.00,100%
79.32,3.66,-45.90,168.00,100%
79.35,3.69,-52.50,216.00,100%
79.38,3.69,-56.60,190.00,100%
79.41,3.69,-59.40,220.00,100%
79.44,3.67,18.10,66.00,100%
79.44,3.67,-49.30,184.00,100%
79.47,3.69,-55.80,206.00,100%
79.50,3.69,-53.20,196.00,100%
79.53,3.69,-56.90,180.00,100%
79.56,3.67,25.60,292.00,100%
79.56,3.68,-53.70,174.00,100%
79.59,3.69,-48.80,204.00,100%
79.62,3.69,-56.90,204.00,100%
79.65,3.69,-54.40,200.00,100%
79.68,3.67,11.70,42.00,100%
79.68,3.69,-43.60,160.00,100%
79.71,3.69,-59.60,220.00,100%
79.74,3.70,-47.50,176.00,100%
79.77,3.69,-57.70,206.00,100%
79.80,3.67,24.30,312.00,100%
79.80,3.70,-53.30,196.00,100%
79.83,3.69,-50.30,184.00,100%
79.86,3.69,-54.80,216.00,100%
79.89,3.69,-50.30,186.00,100%
79.92,3.67,9.90,36.00,100%
79.92,3.66,-44.70,164.00,100%
79.95,3.69,-58.70,216.00,100%
79.98,3.69,-51.70,190.00,100%
80.01,3.69,-55.10,220.00,100%
80.04,3.67,20.60,302.00,100%
80.04,3.69,-48.10,200.00,100%
80.07,3.69,-56.90,190.00,100%
80.10,3.69,-48.10,212.00,100%
80.13,3.69,-53.90,200.00,100%
80.16,3.67,14.10,52.00,100%
80.16,3.66,-49.90,184.00,100%
80.19,3.69,-53.10,196.00,100%
80.22,3.69,-58.60,216.00,100%
80.25,3.69,-48.00,210.00,100%
80.28,3.67,17.50,288.00,100%
80.28,3.69,-45.50,184.00,100%
80.31,3.69,-57.30,210.00,100%
80.34,3.69,-48.50,186.00,100%
80.37,3.69,-59.60,220.00,100%
80.40,3.67,20.00,72.00,100%
80.40,3.67,-52.40,194.00,100%
80.43,3.69,-51.60,190.00,100%
80.46,3.69,-57.50,212.00,100%
80.49,3.69,-52.00,194.00,100%
80.52,3.67,21.40,276.00,100%
80.52,3.68,-51.00,170.00,100%
80.55,3.69,-50.90,212.00,100%
80.58,3.69,-56.80,184.00,100%
80.61,3.69,-57.30,212.00,100%
80.64,3.67,14.80,52.00,100%
80.64,3.69,-47.00,174.00,100%
80.67,3.69,-58.90,216.00,100%
80.70,3.69,-50.60,186.00,100%
80.73,3.69,-58.70,216.00,100%
80.76,3.67,26.40,294.00,100%
80.76,3.70,-53.60,194.00,100%
80.79,3.69,-51.00,190.00,100%
80.82,3.69,-55.80,216.00,100%
80.85,3.69,-48.20,176.00,100%
80.88,3.67,10.10,36.00,100%
80.88,3.66,-44.30,164.00,100%
80.91,3.69,-58.80,216.00,100%
80.94,3.69,-53.20,196.00,100%
80.97,3.69,-54.40,200.00,100%
81.00,3.67,19.70,298.00,100%
81.00,3.69,-45.40,196.00,100%
81.03,3.69,-58.10,190.00,100%
81.06,3.69,-47.60,204.00,100%
81.09,3.69,-56.80,210.00,100%
81.12,3.67,17.90,66.00,100%
81.12,3.66,-51.50,190.00,100%
81.15,3.69,-50.30,186.00,100%
81.18,3.69,-58.80,216.00,100%
81.21,3.69,-51.20,190.00,100%
81.24,3.67,19.10,276.00,100%
81.24,3.69,-47.50,160.00,100%
81.27,3.69,-53.50,216.00,100%
81.30,3.69,-56.30,186.00,100%
81.33,3.69,-57.30,212.00,100%
81.36,3.67,15.70,56.00,100%
81.36,3.67,-46.70,174.00,100%
81.39,3.69,-58.80,216.00,100%
81.42,3.69,-49.70,184.00,100%
81.45,3.69,-58.80,216.00,100%
81.48,3.67,26.20,298.00,100%
81.48,3.68,-52.40,196.00,100%
81.51,3.69,-50.80,180.00,100%
81.54,3.69,-53.90,216.00,100%
81.57,3.69,-50.50,186.00,100%
81.60,3.67,11.20,40.00,100%
81.60,3.69,-45.20,168.00,100%
81.63,3.69,-56.10,206.00,100%
81.66,3.69,-57.30,212.00,100%
81.69,3.69,-50.10,186.00,100%
81.72,3.67,18.00,304.00,100%
81.72,3.70,-44.40,184.00,100%
81.75,3.69,-58.10,212.00,100%
81.78,3.69,-49.70,186.00,100%
81.81,3.69,-59.30,220.00,100%
81.84,3.67,20.40,76.00,100%
81.84,3.66,-52.00,194.00,100%
81.87,3.69,-51.00,190.00,100%
81.90,3.69,-56.50,210.00,100%
81.93,3.69,-54.60,204.00,100%
81.96,3.67,23.90,286.00,100%
81.96,3.69,-52.20,164.00,100%
81.99,3.69,-48.60,210.00,100%
82.02,3.69,-58.40,204.00,100%
82.05,3.69,-53.00,196.00,100%
82.08,3.67,10.40,40.00,100%
82.08,3.66,-42.90,158.00,100%
82.11,3.69,-60.20,222.00,100%
82.14,3.69,-51.20,190.00,100%
82.17,3.69,-58.30,216.00,100%
82.20,3.67,25.10,308.00,100%
82.20,3.66,-46.50,196.00,100%
82.23,3.69,-55.40,186.00,100%
82.26,3.69,-51.70,216.00,100%
82.29,3.69,-50.80,186.00,100%
82.32,3.67,11.80,42.00,100%
82.32,3.67,-48.20,176.00,100%
82.35,3.69,-53.90,200.00,100%
82.38,3.69,-58.30,216.00,100%
82.41,3.69,-49.10,180.00,100%
82.44,3.67,18.10,312.00,100%
82.44,3.68,-44.00,180.00,100%
82.47,3.69,-58.40,212.00,100%
82.50,3.69,-49.50,184.00,100%
82.53,3.69,-58.70,216.00,100%
82.56,3.67,19.70,72.00,100%
82.56,3.70,-52.40,194.00,100%
82.59,3.69,-50.20,186.00,100%
82.62,3.69,-57.10,210.00,100%
82.65,3.69,-53.60,196.00,100%
82.68,3.67,22.60,292.00,100%
82.68,3.70,-50.60,170.00,100%
82.71,3.69,-50.10,212.00,100%
82.74,3.69,-58.20,194.00,100%
82.77,3.69,-54.40,200.00,100%
82.80,3.67,12.10,42.00,100%
82.80,3.70,-44.90,168.00,100%
82.83,3.69,-59.40,220.00,100%
82.86,3.69,-48.90,180.00,100%
82.89,3.69,-58.70,216.00,100%
82.92,3.67,25.70,318.00,100%
82.92,3.69,-51.30,194.00,100%
82.95,3.69,-51.90,180.00,100%
82.98,3.69,-53.90,216.00,100%
83.01,3.69,-50.20,186.00,100%
83.04,3.67,11.00,40.00,100%
83.04,3.66,-45.80,170.00,100%
83.07,3.69,-55.60,206.00,100%
83.10,3.69,-57.00,210.00,100%
83.13,3.69,-50.60,186.00,100%
83.16,3.67,17.60,294.00,100%
83.16,3.69,-43.60,180.00,100%
83.19,3.69,-58.60,212.00,100%
83.22,3.69,-49.50,186.00,100%
83.25,3.69,-59.10,220.00,100%
83.28,3.67,19.20,68.00,100%
83.28,3.66,-52.80,196.00,100%
83.31,3.69,-50.90,186.00,100%
83.34,3.69,-56.30,210.00,100%
83.37,3.69,-55.00,204.00,100%
83.40,3.67,24.00,276.00,100%
83.40,3.68,-51.50,164.00,100%
83.43,3.69,-48.40,206.00,100%
83.46,3.69,-58.30,204.00,100%
83.49,3.69,-52.80,196.00,100%
83.52,3.67,10.30,36.00,100%
83.52,3.68,-42.90,158.00,100%
83.55,3.69,-59.80,220.00,100%
83.58,3.69,-50.90,186.00,100%
83.61,3.69,-57.40,212.00,100%
83.64,3.67,25.10,308.00,100%
83.64,3.69,-49.20,196.00,100%
83.67,3.69,-56.10,186.00,100%
83.70,3.69,-50.90,216.00,100%
83.73,3.69,-50.80,186.00,100%
83.76,3.67,11.90,42.00,100%
83.76,3.66,-49.50,184.00,100%
83.79,3.69,-52.60,194.00,100%
83.82,3.69,-58.70,216.00,100%
83.85,3.69,-48.40,180.00,100%
83.88,3.67,18.10,276.00,100%
83.88,3.69,-44.70,170.00,100%
83.91,3.69,-57.20,216.00,100%
83.94,3.69,-51.70,176.00,100%
83.97,3.69,-59.00,220.00,100%
84.00,3.67,17.40,62.00,100%
84.00,3.66,-51.70,190.00,100%
84.03,3.69,-53.90,200.00,100%
84.06,3.69,-54.60,204.00,100%
84.09,3.69,-57.10,210.00,100%
84.12,3.67,26.00,268.00,100%
84.12,3.66,2.10,170.00,100%
84.15,3.69,-50.10,200.00,100%
84.18,3.69,-57.60,212.00,100%
84.21,3.69,-49.70,184.00,100%
84.24,3.67,9.70,36.00,100%
84.24,3.66,-43.70,160.00,100%
84.27,3.69,-59.60,220.00,100%
84.30,3.69,-51.20,190.00,100%
84.33,3.69,-55.80,206.00,100%
84.36,3.67,20.90,288.00,100%
84.36,3.66,-42.60,196.00,100%
84.39,3.69,-58.40,186.00,100%
84.42,3.69,-47.50,206.00,100%
84.45,3.69,-55.30,204.00,100%
84.48,3.67,17.00,62.00,100%
84.48,3.67,-51.70,190.00,100%
84.51,3.69,-49.10,180.00,100%
84.54,3.69,-58.90,216.00,100%
84.57,3.69,-51.20,190.00,100%
84.60,3.67,19.10,256.00,100%
84.60,3.67,-46.00,160.00,100%
84.63,3.69,-54.20,216.00,100%
84.66,3.69,-55.30,186.00,100%
84.69,3.69,-58.00,212.00,100%
84.72,3.67,17.30,62.00,100%
84.72,3.69,-48.10,176.00,100%
84.75,3.69,-57.30,212.00,100%
84.78,3.69,-51.70,190.00,100%
84.81,3.69,-58.50,216.00,100%
84.84,3.67,28.10,256.00,100%
84.84,3.70,-52.90,186.00,100%
84.87,3.69,-50.20,190.00,100%
84.90,3.69,-56.50,216.00,100%
84.93,3.69,-48.30,176.00,100%
84.96,3.67,9.80,36.00,100%
84.96,3.66,-43.30,160.00,100%
84.99,3.69,-58.90,216.00,100%
85.02,3.69,-52.30,194.00,100%
85.05,3.69,-54.80,204.00,100%
85.08,3.67,20.10,268.00,100%
85.08,3.69,-46.20,200.00,100%
85.11,3.69,-57.40,186.00,100%
85.15,3.69,-46.40,206.00,100%
85.17,3.69,-55.50,206.00,100%
85.20,3.67,17.50,66.00,100%
85.20,3.66,-51.00,190.00,100%
85.23,3.69,-49.90,184.00,100%
85.26,3.69,-59.30,220.00,100%
85.29,3.69,-50.20,186.00,100%
85.32,3.67,18.30,220.00,100%
85.32,3.69,-46.10,170.00,100%
85.35,3.69,-55.10,216.00,100%
85.38,3.69,-54.10,186.00,100%
85.41,3.69,-59.20,220.00,100%
85.44,3.67,20.30,76.00,100%
85.44,3.66,-49.40,184.00,100%
85.47,3.69,-56.10,206.00,100%
85.50,3.69,-53.20,196.00,100%
85.53,3.69,-57.20,184.00,100%
85.56,3.67,26.40,212.00,100%
85.56,3.67,-54.10,180.00,100%
85.59,3.69,-49.60,200.00,100%
85.62,3.69,-57.00,212.00,100%
85.65,3.69,-51.70,190.00,100%
85.68,3.67,13.80,50.00,100%
85.68,3.68,-40.60,150.00,100%
85.71,3.69,-59.30,220.00,100%
85.74,3.69,-49.50,184.00,100%
85.77,3.69,-56.20,216.00,100%
85.80,3.67,21.80,222.00,100%
85.80,3.69,-49.10,200.00,100%
85.83,3.69,-56.70,190.00,100%
85.86,3.69,-48.60,212.00,100%
85.89,3.69,-53.90,200.00,100%
85.92,3.66,18.80,68.00,100%
85.92,3.66,-49.90,184.00,100%
85.95,3.69,-50.80,186.00,100%
85.98,3.69,-58.70,216.00,100%
86.01,3.69,-48.60,200.00,100%
86.04,3.67,16.10,158.00,100%
86.04,3.70,-43.60,168.00,100%
86.07,3.69,-56.50,216.00,100%
86.10,3.69,-47.80,176.00,100%
86.13,3.69,-60.00,222.00,100%
86.16,3.67,23.30,86.00,100%
86.16,3.70,-50.50,186.00,100%
86.19,3.69,-53.30,196.00,100%
86.22,3.69,-54.00,200.00,100%
86.25,3.69,-55.90,186.00,100%
86.28,3.67,24.60,132.00,100%
86.28,3.69,-52.10,170.00,100%
86.31,3.69,-49.40,200.00,100%
86.34,3.69,-57.30,212.00,100%
86.37,3.69,-52.00,194.00,100%
86.40,3.67,16.80,62.00,100%
86.40,3.69,-41.80,154.00,100%
86.43,3.69,-58.90,216.00,100%
86.46,3.69,-49.30,184.00,100%
86.49,3.69,-55.90,216.00,100%
86.52,3.67,20.90,148.00,100%
86.52,3.69,-46.70,190.00,100%
86.55,3.69,-55.90,186.00,100%
86.58,3.69,-57.70,212.00,100%
86.61,3.69,-53.80,200.00,100%
86.64,3.67,21.50,78.00,100%
86.64,3.66,-50.80,186.00,100%
86.67,3.69,-51.30,190.00,100%
86.70,3.69,-58.40,216.00,100%
86.73,3.69,-48.30,204.00,100%
86.76,3.67,15.00,98.00,100%
86.76,3.69,-43.40,164.00,100%
86.79,3.69,-55.70,216.00,100%
86.82,3.69,-48.80,180.00,100%
86.85,3.69,-60.20,222.00,100%
86.88,3.67,24.10,88.00,100%
86.88,3.67,-52.70,194.00,100%
86.91,3.69,-52.70,194.00,100%
86.94,3.69,-53.90,216.00,100%
86.97,3.69,-55.80,186.00,100%
87.00,3.67,23.40,72.00,100%
87.00,3.67,-51.60,164.00,100%
87.03,3.69,-47.00,204.00,100%
87.06,3.69,-57.30,212.00,100%
87.09,3.69,-52.60,194.00,100%
87.12,3.67,16.50,58.00,100%
87.12,3.68,-41.80,154.00,100%
87.15,3.69,-58.70,216.00,100%
87.18,3.69,-49.90,190.00,100%
87.21,3.69,-57.20,220.00,100%
87.24,3.67,22.00,92.00,100%
87.24,3.68,-47.60,194.00,100%
87.27,3.69,-55.50,186.00,100%
87.30,3.69,-59.30,220.00,100%
87.33,3.69,-52.10,194.00,100%
87.36,3.67,20.40,76.00,100%
87.36,3.70,-49.40,184.00,100%
87.39,3.69,-50.80,186.00,100%
87.42,3.69,-56.70,184.00,100%
87.45,3.69,-48.70,210.00,100%
87.48,3.67,16.50,50.00,100%
87.48,3.69,-44.00,168.00,100%
87.51,3.69,-58.50,216.00,100%
87.54,3.69,-50.10,186.00,100%
87.57,3.69,-58.50,216.00,100%
87.60,3.67,23.50,86.00,100%
87.60,3.70,-51.90,194.00,100%
87.63,3.69,-51.50,190.00,100%
87.66,3.69,-54.20,212.00,100%
87.69,3.69,-56.40,194.00,100%
87.72,3.67,22.90,22.00,100%
87.72,3.69,-50.80,160.00,100%
87.75,3.69,-56.90,210.00,100%
87.78,3.69,-55.80,206.00,100%
87.81,3.69,-53.10,196.00,100%
87.84,3.67,15.60,56.00,100%
87.84,3.67,-43.50,160.00,100%
87.87,3.69,-58.80,216.00,100%
87.90,3.69,-49.00,196.00,100%
87.93,3.69,-59.70,220.00,100%
87.96,3.67,25.80,56.00,100%
87.96,3.69,-48.10,190.00,100%
87.99,3.69,-50.30,186.00,100%
88.02,3.69,-59.80,222.00,100%
88.08,3.69,-51.70,190.00,100%
88.08,3.67,17.70,66.00,100%
88.08,3.67,-47.50,176.00,100%
88.11,3.69,-52.10,216.00,100%
88.14,3.69,-57.50,184.00,100%
88.17,3.69,-50.10,212.00,100%
88.20,3.67,17.40,50.00,100%
88.20,3.68,-42.20,170.00,100%
88.23,3.69,-59.90,222.00,100%
88.26,3.69,-49.40,184.00,100%
88.29,3.69,-59.00,220.00,100%
88.32,3.67,24.30,88.00,100%
88.32,3.70,-51.60,190.00,100%
88.35,3.69,-51.30,176.00,100%
88.38,3.68,-53.90,220.00,100%
88.41,3.69,-57.70,190.00,100%
88.44,3.67,26.50,46.00,100%
88.44,3.69,-46.90,174.00,100%
88.47,3.69,-51.60,190.00,100%
88.50,3.69,-58.00,212.00,100%
88.53,3.69,-52.20,194.00,100%
88.56,3.67,23.20,86.00,100%
88.56,3.70,-48.80,160.00,100%
88.59,3.69,-50.50,216.00,100%
88.62,3.69,-59.10,200.00,100%
88.65,3.69,-49.20,200.00,100%
88.68,3.67,17.60,66.00,100%
88.68,3.66,-44.80,164.00,100%
88.71,3.69,-59.00,220.00,100%
88.74,3.69,-51.40,190.00,100%
88.77,3.69,-58.60,216.00,100%
88.80,3.67,27.20,98.00,100%
88.80,3.66,34.80,190.00,100%
88.83,3.69,-56.90,190.00,100%
88.86,3.69,-51.00,212.00,100%
88.89,3.69,-57.90,190.00,100%
88.92,3.67,20.30,76.00,100%
88.92,3.66,-51.10,190.00,100%
88.95,3.69,-50.40,186.00,100%
88.98,3.69,-60.20,222.00,100%
89.01,3.69,-50.50,186.00,100%
89.04,3.67,19.00,68.00,100%
89.04,3.66,-15.50,160.00,100%
89.07,3.69,-57.60,222.00,100%
89.10,3.69,-54.20,180.00,100%
89.13,3.69,-50.80,216.00,100%
89.16,3.67,24.10,88.00,100%
89.16,3.65,-45.10,168.00,100%
89.19,3.69,-55.20,204.00,100%
89.22,3.69,-53.00,196.00,100%
89.25,3.69,-51.70,190.00,100%
89.28,3.67,18.00,66.00,100%
89.28,3.69,-48.90,160.00,100%
89.31,3.69,-50.80,216.00,100%
89.34,3.69,-59.40,194.00,100%
89.37,3.69,-47.10,204.00,100%
89.40,3.67,17.90,46.00,100%
89.40,3.67,-45.40,168.00,100%
89.43,3.69,-59.40,220.00,100%
89.46,3.69,-50.80,186.00,100%
89.52,3.69,-58.40,216.00,100%
89.52,3.67,23.70,88.00,100%
89.55,3.69,-47.10,186.00,100%
89.55,3.69,-56.90,190.00,100%
89.58,3.69,-50.80,212.00,100%
89.61,3.69,-58.20,194.00,100%
89.64,3.67,15.80,58.00,100%
89.64,3.70,-52.50,194.00,100%
89.67,3.69,-49.20,180.00,100%
89.70,3.69,-59.70,220.00,100%
89.73,3.69,-50.80,186.00,100%
89.76,3.67,15.60,240.00,100%
89.76,3.70,-43.80,150.00,100%
89.79,3.69,-55.50,222.00,100%
89.85,3.69,-56.50,186.00,100%
89.88,3.69,-48.50,212.00,100%
89.88,3.67,15.80,58.00,100%
89.88,3.70,-48.20,176.00,100%
89.91,3.69,-57.70,212.00,100%
89.94,3.69,-49.60,184.00,100%
89.97,3.69,-58.90,216.00,100%
90.00,3.67,23.70,250.00,100%
90.01,3.69,-48.50,186.00,100%
90.03,3.69,-54.50,184.00,100%
90.06,3.69,-52.30,216.00,100%
90.09,3.69,-56.10,190.00,100%
90.12,3.67,14.40,52.00,100%
90.12,3.66,-48.70,180.00,100%
90.15,3.69,-53.40,196.00,100%
90.18,3.69,-59.00,220.00,100%
90.22,3.69,-49.80,184.00,100%
90.24,3.67,10.50,206.00,100%
90.24,3.69,-43.30,170.00,100%
90.30,3.69,-59.60,220.00,100%
90.33,3.69,-51.00,180.00,100%
90.33,3.69,-53.60,216.00,100%
90.36,3.67,20.90,76.00,100%
90.36,3.66,-52.30,194.00,100%
90.39,3.69,-52.80,196.00,100%
90.42,3.69,-55.30,204.00,100%
90.45,3.69,-56.80,210.00,100%
90.48,3.67,26.00,148.00,100%
90.48,3.67,-51.00,170.00,100%
90.51,3.69,-50.20,204.00,100%
90.54,3.69,-57.60,212.00,100%
90.57,3.69,-49.70,184.00,100%
90.60,3.67,14.70,52.00,100%
90.60,3.68,-43.30,160.00,100%
90.63,3.69,-59.20,220.00,100%
90.66,3.69,-51.90,194.00,100%
90.69,3.69,-54.80,204.00,100%
90.72,3.67,18.50,148.00,100%
90.72,3.69,-44.60,194.00,100%
90.76,3.69,-58.00,194.00,100%
90.78,3.69,-49.00,200.00,100%
90.81,3.69,-57.70,212.00,100%
90.84,3.67,23.80,88.00,100%
90.84,3.70,-51.60,190.00,100%
90.87,3.69,-52.00,194.00,100%
90.90,3.69,-58.30,216.00,100%
90.93,3.69,-52.50,194.00,100%
90.96,3.67,22.70,98.00,100%
90.96,3.70,-52.60,174.00,100%
91.02,3.69,-48.70,210.00,100%
91.02,3.69,-57.10,204.00,100%
91.05,3.69,-53.90,200.00,100%
91.08,3.67,15.70,58.00,100%
91.08,3.70,-41.40,154.00,100%
91.11,3.69,-59.40,220.00,100%
91.14,3.70,-51.80,190.00,100%
91.17,3.69,-56.20,216.00,100%
91.20,3.67,21.30,98.00,100%
91.20,3.69,-47.90,196.00,100%
91.23,3.69,-57.10,184.00,100%
91.26,3.69,-47.10,206.00,100%
91.29,3.69,-56.80,210.00,100%
91.32,3.67,16.50,58.00,100%
91.32,3.66,-51.50,190.00,100%
91.35,3.69,-48.40,180.00,100%
91.38,3.69,-58.50,216.00,100%
91.41,3.69,-50.00,186.00,100%
91.44,3.67,17.50,42.00,100%
91.44,3.69,-47.40,164.00,100%
91.47,3.69,-52.40,216.00,100%
91.50,3.69,-50.20,186.00,100%
91.53,3.69,-58.00,212.00,100%
91.56,3.67,20.80,76.00,100%
91.56,3.66,-46.60,174.00,100%
91.61,3.69,-58.80,216.00,100%
91.62,3.69,-47.70,176.00,100%
91.65,3.69,-57.30,206.00,100%
91.68,3.67,21.90,46.00,100%
91.68,3.67,-47.90,186.00,100%
91.71,3.69,-52.80,184.00,100%
91.74,3.69,-58.80,216.00,100%
91.77,3.69,-51.70,190.00,100%
91.80,3.67,19.00,68.00,100%
91.80,3.68,-50.10,184.00,100%
91.83,3.69,-51.80,190.00,100%
91.86,3.69,-58.00,190.00,100%
91.89,3.69,-47.70,204.00,100%
91.92,3.67,15.30,20.00,100%
91.92,3.69,-42.70,160.00,100%
91.95,3.69,-54.20,216.00,100%
91.98,3.69,-52.20,194.00,100%
92.01,3.69,-58.60,216.00,100%
92.04,3.67,23.50,86.00,100%
92.04,3.70,-48.30,176.00,100%
92.07,3.69,-56.90,210.00,100%
92.10,3.69,-48.20,210.00,100%
92.13,3.69,-59.20,200.00,100%
92.16,3.67,25.30,46.00,100%
92.16,3.69,-51.00,186.00,100%
92.19,3.69,-49.20,180.00,100%
92.22,3.69,-60.10,222.00,100%
92.25,3.69,-50.10,186.00,100%
92.28,3.67,16.20,58.00,100%
92.28,3.66,-45.20,168.00,100%
92.31,3.69,-55.40,206.00,100%
92.34,3.69,-54.90,184.00,100%
92.37,3.69,-52.30,222.00,100%
92.40,3.67,17.10,62.00,100%
92.40,3.69,-40.70,176.00,100%
92.43,3.69,-57.10,210.00,100%
92.46,3.69,-52.20,194.00,100%
92.49,3.69,-58.40,216.00,100%
92.52,3.67,23.50,86.00,100%
92.52,3.66,-52.00,194.00,100%
92.55,3.69,-49.60,186.00,100%
92.58,3.69,-54.90,212.00,100%
92.61,3.69,-56.40,194.00,100%
92.64,3.67,23.90,42.00,100%
92.64,3.66,-7.90,164.00,100%
92.67,3.69,-56.90,210.00,100%
92.70,3.69,-57.10,210.00,100%
92.73,3.69,-51.20,190.00,100%
92.76,3.67,15.70,58.00,100%
92.76,3.66,-43.90,160.00,100%
92.79,3.69,-57.30,206.00,100%
92.82,3.69,-49.60,190.00,100%
92.85,3.69,-57.30,220.00,100%
92.88,3.67,22.30,78.00,100%
92.88,3.66,-36.80,190.00,100%
92.91,3.69,-53.60,196.00,100%
92.94,3.69,-57.20,212.00,100%
92.97,3.69,-54.10,200.00,100%
93.00,3.67,22.30,82.00,100%
93.00,3.70,-50.50,186.00,100%
93.03,3.69,-47.90,210.00,100%
93.06,3.69,-59.60,200.00,100%
93.09,3.69,-49.90,200.00,100%
93.12,3.67,19.30,46.00,100%
93.12,3.67,-43.40,160.00,100%
93.15,3.69,-60.60,222.00,100%
93.18,3.69,-49.30,184.00,100%
93.21,3.69,-59.60,220.00,100%
93.24,3.67,23.80,88.00,100%
93.24,3.70,-48.70,180.00,100%
93.27,3.69,-55.00,186.00,100%
93.30,3.69,-52.00,220.00,100%
93.33,3.69,-58.00,194.00,100%
93.36,3.67,29.10,58.00,100%
93.36,3.69,-51.20,190.00,100%
93.39,3.69,-50.90,186.00,100%
93.42,3.69,-58.80,216.00,100%
93.45,3.69,-51.50,190.00,100%
93.48,3.67,17.00,62.00,100%
93.48,3.70,-46.30,158.00,100%
93.51,3.69,-52.70,216.00,100%
93.54,3.69,-59.30,190.00,100%
93.57,3.69,-47.80,206.00,100%
93.60,3.67,15.00,32.00,100%
93.60,3.70,-45.00,168.00,100%
93.63,3.69,-59.60,220.00,100%
93.66,3.69,-51.00,190.00,100%
93.69,3.69,-57.70,212.00,100%
93.72,3.67,17.70,262.00,100%
93.72,3.70,-44.30,186.00,100%
93.75,3.69,-58.80,194.00,100%
93.78,3.69,-47.50,204.00,100%
93.81,3.69,-58.00,210.00,100%
93.84,3.67,21.80,78.00,100%
93.84,3.66,-53.70,200.00,100%
93.87,3.69,-50.30,186.00,100%
93.90,3.69,-58.90,220.00,100%
93.93,3.69,-53.50,196.00,100%
93.96,3.67,21.00,160.00,100%
93.96,3.69,-49.60,164.00,100%
93.99,3.69,-50.00,212.00,100%
94.02,3.69,-58.00,204.00,100%
94.05,3.69,-49.70,194.00,100%
94.08,3.67,15.80,58.00,100%
94.08,3.66,-44.10,164.00,100%
94.11,3.69,-58.10,216.00,100%
94.14,3.69,-51.50,190.00,100%
94.17,3.69,-56.30,210.00,100%
94.20,3.67,19.60,164.00,100%
94.20,3.69,-43.00,186.00,100%
94.23,3.69,-60.40,200.00,100%
94.26,3.69,-48.50,204.00,100%
94.29,3.69,-56.80,212.00,100%
94.32,3.67,23.50,86.00,100%
94.32,3.66,-53.60,196.00,100%
94.36,3.69,-50.80,186.00,100%
94.38,3.69,-58.40,216.00,100%
94.41,3.69,-52.80,196.00,100%
94.47,3.67,22.30,114.00,100%
94.47,3.67,-50.40,168.00,100%
94.48,3.69,-49.20,212.00,100%
94.50,3.69,-58.50,204.00,100%
94.53,3.69,-49.90,194.00,100%
94.56,3.67,8.40,30.00,100%
94.56,3.68,-41.80,154.00,100%
94.59,3.69,-59.40,220.00,100%
94.62,3.69,-50.60,186.00,100%
94.65,3.69,-55.60,206.00,100%
94.68,3.67,21.00,132.00,100%
94.68,3.68,-45.20,194.00,100%
94.72,3.69,-58.40,190.00,100%
94.74,3.69,-49.80,204.00,100%
